name,wiki_description,wiki_url,categories,fact_style,fact_completed,fact_type,fact_built,fact_built_by,fact_visitors
Château d'Oiron,"The Château d'Oiron is located in Oiron, in the Deux-Sèvres département of western France. It has its origins in the 15th century war with the English for control of France when a victorious Charles VII of France gave the domain and great forest of Oiron to Guillaume Gouffier who became governor of Touraine. This château is the background for Charles Perrault's fairy tale, Puss in Boots. King Louis XIV's mistress, Madame de Montespan was one of the residents in the place.",https://en.wikipedia.org/wiki/Ch%C3%A2teau_d%27Oiron,"15th-century establishments in France, Houses completed in the 15th century, Châteaux in Deux-Sèvres, Museums in Deux-Sèvres, Art museums and galleries in France",,,,,,
Site des mégalithes de Locmariaquer,"The Locmariaquer megaliths are a complex of Neolithic constructions in Locmariaquer, Brittany. They comprise the elaborate Er-Grah tumulus passage grave, a dolmen known as the Table des Marchand and ""The Broken Menhir of Er Grah"", the largest known single block of stone to have been transported and erected by Neolithic people.",https://en.wikipedia.org/wiki/Locmariaquer_megaliths,"Buildings and structures completed in the 5th millennium BC, Megalithic monuments in Brittany, Archaeological sites in Brittany, Monuments historiques of Morbihan, Tumuli in France",,,,,,
Abbaye de Cluny,"Cluny Abbey (French: ; French: Abbaye de Cluny, formerly also Cluni or Clugny; Latin: Abbatia Cluniacensis) is a former Benedictine monastery in Cluny, Saône-et-Loire, France. It was dedicated to Saints Peter and Paul.",https://en.wikipedia.org/wiki/Cluny_Abbey,"Benedictine monasteries in France, Buildings and structures in Saône-et-Loire, 910 establishments, Religious buildings and structures completed in the 910s, Christian monasteries established in the 10th century",,,,910,"William I, Duke of Aquitaine",
Ensemble cathédral du Puy-en-Velay,"Le Puy Cathedral (French: Cathédrale Notre-Dame-de-l'Annonciation du Puy) is a Catholic church located in Le Puy-en-Velay, in the French region of Auvergne. The cathedral is a national monument. It has been a centre of pilgrimage in its own right since before the time of Charlemagne, as well as being a stopover on the pilgrimage route to Santiago de Compostela. Since 1998 it has been part of a multi-location UNESCO World Heritage Site along France's Santiago pilgrimage routes. It is the seat of the Bishop of Le Puy.",https://en.wikipedia.org/wiki/Le_Puy_Cathedral,"Roman Catholic cathedrals in France, Churches in Haute-Loire, Monuments historiques of Haute-Loire, World Heritage Sites in France, Basilica churches in France",Romanesque,13th century,classé,,,
Sites préhistoriques de la vallée de la Vézère,"This is a list of World Heritage Sites in France with properties of cultural and natural heritage in France as inscribed on UNESCO's World Heritage List or as on the country's tentative list. France accepted the Convention Concerning the Protection of the World Cultural and Natural Heritage on 27 June 1975, after which it could nominate properties on their territory to be considered for the World Heritage List.",https://en.wikipedia.org/wiki/List_of_World_Heritage_Sites_in_France,"World Heritage Sites in France, Lists of World Heritage Sites, Lists of tourist attractions in France, French culture-related lists",,,,,,
Maison de George Sand,"The House of George Sand is a writer's house museum in the village of Nohant, in the Indre department of France. It was the home of George Sand (born as Aurore Dupin; 1804–1876), a French author, and was purchased by the French state in 1952. The house was preserved because it was where Sand wrote many of her books and hosted some of the most important artists and writers of her time, including Frédéric Chopin, Franz Liszt, Honoré de Balzac, Ivan Turgenev, and Eugène Delacroix.",https://en.wikipedia.org/wiki/House_of_George_Sand,"Buildings and structures completed in 1452, Houses completed in the 15th century, Houses in France, Gardens in Indre, Buildings and structures in Indre",,,,,,
Sainte-Chapelle,"The Sainte-Chapelle (French: ; English: Holy Chapel) is a royal chapel in the Gothic style, within the medieval Palais de la Cité, the residence of the Kings of France until the 14th century, on the Île de la Cité in the River Seine in Paris, France.",https://en.wikipedia.org/wiki/Sainte-Chapelle,"13th-century Roman Catholic church buildings in France, Buildings and structures completed in 1248, Churches completed in the 1240s, Crown of thorns, Double chapels",Rayonnant Gothic,1248,Royal chapel,,,
Tours de la cathédrale de Reims,"Notre-Dame de Reims (/ˌnɒtrə ˈdɑːm, ˌnoʊtrə ˈdeɪm, ˌnoʊtrə ˈdɑːm/; French:  ⓘ; meaning ""Our Lady of Reims""), known in English as Reims Cathedral (also spelt Rheims Cathedral), is a Catholic cathedral in the French city of the same name, the seat of the Archdiocese of Reims. The cathedral was dedicated to the Virgin Mary and was the traditional location for the coronation of the kings of France. The cathedral is considered to be one of the most important works of Gothic architecture. A major tourist destination, it receives about a million visitors annually. It became a UNESCO World Heritage Site in 1991.",https://en.wikipedia.org/wiki/Reims_Cathedral,"Buildings and structures completed in 1275, 13th-century Roman Catholic church buildings in France, World Heritage Sites in France, Roman Catholic church buildings in Reims, Roman Catholic cathedrals in France",High Gothic,1275,Church,1211–1345,"Jean d'Orbais, Jean-le-Loup, Gaucher of Reims, Bernard de Soissons",
Château ducal de Cadillac,"The House of Nogaret de La Valette, formerly Nogaret, was a ducal family of French nobility, originally from Lavalette (Haute-Garonne) in the Languedoc region. It died out in the 17th century.. The family was elevated to the ducal title four times (1581, 1611, 1621, 1622) and to the rank of Peer of France as early as 1581..",https://en.wikipedia.org/wiki/House_of_Nogaret_de_La_Vallette,"French noble families, House of Nogaret de La Vallete",,,,,,
Cloître de la cathédrale de Bayonne,"The Cathedral of Saint John the Baptist (French: Basilique-Cathédrale de Saint-Jean-Baptiste de Perpignan; Catalan: Catedral de Sant Joan Baptista de Perpinyà) is a Roman Catholic cathedral, and a national monument of France, located in the town of Perpignan in Languedoc-Roussillon. It is dedicated to Saint John the Baptist.",https://en.wikipedia.org/wiki/Perpignan_Cathedral,"15th-century Roman Catholic church buildings in France, Basilica churches in France, Roman Catholic cathedrals in France, Churches in Pyrénées-Orientales, Buildings and structures in Perpignan",Gothic,,church,,,
Château de La Motte Tilly,"Château de La Motte-Tilly is a castle in the commune of La Motte-Tilly, 7 kilometres (4 mi) south-west of Nogent-sur-Seine, Aube, France. It is on the left bank of the Seine and has been open to the public since 1978. The château is managed by the Centre des monuments nationaux.",https://en.wikipedia.org/wiki/Ch%C3%A2teau_de_La_Motte-Tilly,"Castles in Grand Est, Châteaux in Aube, Monuments of the Centre des monuments nationaux",,,,,,
Abbaye du Bec-Hellouin,"Bec Abbey, formally the Abbey of Our Lady of Bec (French: Abbaye Notre-Dame du Bec), is a Benedictine monastic foundation in the Eure département, in the Bec valley midway between the cities of Rouen and Bernay. It is located in Le Bec Hellouin, Normandy, France, and was the most influential abbey of the 12th-century Anglo-Norman kingdom.",https://en.wikipedia.org/wiki/Bec_Abbey,"Benedictine monasteries in France, 1034 establishments in Europe, 1030s establishments in France, Buildings and structures in Eure, Christian monasteries established in the 1030s",,,,,,
Abbaye de Beaulieu-en-Rouergue,not to be confused with Belloc Abbey in Urt; for other uses see Beaulieu,https://en.wikipedia.org/wiki/Beaulieu-en-Rouergue_Abbey,"Cistercian monasteries in France, Christian monasteries established in the 1140s, Art museums and galleries in France, Museums in Tarn-et-Garonne, Churches in Tarn-et-Garonne",,,,1144,"Adhemar III, Bishop of Rodez",
Tours et remparts d’Aigues-Mortes,"Bibi (born 23 February 1964 in Tours, France) is a French artist. His civil name is Fabrice Cahoreau. He is living and working in the South of France. He is known for his art installations in urban spaces using everyday plastic objects.",https://en.wikipedia.org/wiki/Bibi_(artist),"French installation artists, French sculptors, French male sculptors, Light artists, Living people",,,,,,
Trésor de la cathédrale de Lyon,"Notre-Dame de Paris (French: Cathédrale Notre-Dame de Paris French:  ⓘ: ""Cathedral of Our Lady of Paris""), often referred to simply as Notre-Dame, is a medieval Catholic cathedral on the Île de la Cité (an island in the River Seine), in the 4th arrondissement of Paris, France. It is the cathedral church of the Roman Catholic Archdiocese of Paris.",https://en.wikipedia.org/wiki/Notre-Dame_de_Paris,"Notre-Dame de Paris, Cathedrals in Paris, Île de la Cité, 12th-century Roman Catholic church buildings in France, Buildings and structures completed in 1345",French Gothic,1345; 680 years ago,Cathédrale,24 March 1163 to 25 April 1163 (laying of the cornerstone),Maurice de Sully,
Horloge astronomique de Besançon,"Auguste-Lucien Vérité (21 October 1806 – 19 July 1887) was a French clockmaker, the creator of the Besançon astronomical clock and the Beauvais astronomical clock.",https://en.wikipedia.org/wiki/Auguste-Lucien_V%C3%A9rit%C3%A9,"French artist stubs, 1806 births, 1887 deaths, French clockmakers",,,,,,
Site archéologique de Montcaret,"The Centre des monuments nationaux (French pronunciation: , CMN; 'National monuments centre') is a French government body (établissement public à caractère administratif) which conserves, restores and manages historic buildings and sites that are the property of the French state. It is run by the Ministry of Culture.",https://en.wikipedia.org/wiki/Centre_des_monuments_nationaux,"Government agencies of France, Lists of buildings and structures in France, Historic sites in France, National heritage organizations, 2000 establishments in France",,,,,,
Château de Haroué,Haroué (French pronunciation: ) is a commune in the Meurthe-et-Moselle department in north-eastern France.,https://en.wikipedia.org/wiki/Harou%C3%A9,"Communes of Meurthe-et-Moselle, Nancy arrondissement geography stubs",,,,,,
Hôtel de la Marine,"The Hôtel de la Marine (French pronunciation: ), also known (formerly) as the Hôtel du Garde-Meuble (), is an historic building on the Place de la Concorde in Paris, just east of Rue Royale. It was designed by the architect Ange-Jacques Gabriel and built between 1757 and 1774 on the newly created square first called Place Louis XV. The identical building across the street, constructed at the same time, now houses the Hôtel de Crillon and the Automobile Club of France.",https://en.wikipedia.org/wiki/H%C3%B4tel_de_la_Marine,"Buildings and structures in the 8th arrondissement of Paris, Buildings and structures in Paris, French Navy, Houses completed in 1774, Kriegsmarine",Neoclassical Louis XV,1774,,1757,Ange-Jacques Gabriel,
Forteresse de Salses,"The Fort de Salses (also called Forteresse de Salses) is a Catalan fortress in the commune of Salses-le-Château, situated in the French département of Pyrénées-Orientales. It is clearly visible from the A9 autoroute as well as the train line between Perpignan and Narbonne and it is possible to visit from the motorway rest area and the local train station.",https://en.wikipedia.org/wiki/Fort_de_Salses,"Castles in Pyrénées-Orientales, Monuments historiques of Pyrénées-Orientales, Forts in France, Historic house museums in Occitania (administrative region), Museums in Pyrénées-Orientales",,,,,,
Château de Talcy,"The Château de Talcy is a historical building in Talcy, Loir-et-Cher, France. It lies to the north of the river Loire, in the Loire Valley, known for its 16th-century châteaux. From a fortification in existence in the 13th century additional wings were added in the 1620s. Modernised in the 18th century the interiors have been preserved. A Historical Monument first registered in 1906 it has been owned by the state since 1933. It is open to visitors.",https://en.wikipedia.org/wiki/Ch%C3%A2teau_de_Talcy,"Houses completed in the 16th century, Châteaux in Loir-et-Cher, Châteaux of the Loire Valley, Gardens in Loir-et-Cher, Historic house museums in Centre-Val de Loire",,,,,,
Crypte et tour de la cathédrale de Bourges,"Strasbourg Cathedral or the Cathedral of Our Lady of Strasbourg (French: Cathédrale Notre-Dame de Strasbourg, or Cathédrale de Strasbourg, German: Liebfrauenmünster zu Straßburg), also known as Strasbourg Minster (German: Straßburger Münster), is a Catholic cathedral in Strasbourg, Alsace, France. Although considerable parts of it are still in Romanesque architecture, it is widely considered to be among the finest examples of Rayonnant Gothic architecture. Architect Erwin von Steinbach is credited for major contributions from 1277 to his death in 1318, and beyond through his son Johannes von Steinbach, and his grandson Gerlach von Steinbach, who succeeded him as chief architects. The Steinbachs' plans for the completion of the cathedral were not followed through by the chief architects who took over after them, and instead of the originally envisioned two spires, a single, octagonal tower with an elongated, octagonal crowning was built on the northern side of the west facade by master Ulrich Ensingen and his successor, Johannes Hültz. The construction of the cathedral, which had started in the year 1015 and had been relaunched in 1190, was finished in 1439.",https://en.wikipedia.org/wiki/Strasbourg_Cathedral,"15th-century Roman Catholic church buildings in France, Church buildings with domes, Former world's tallest buildings, Gothic architecture in Strasbourg, Monuments historiques of Strasbourg","Romanesque, Gothic",1439,Church,,,
Sites et musée archéologiques de Montmaurin,"The Centre des monuments nationaux (French pronunciation: , CMN; 'National monuments centre') is a French government body (établissement public à caractère administratif) which conserves, restores and manages historic buildings and sites that are the property of the French state. It is run by the Ministry of Culture.",https://en.wikipedia.org/wiki/Centre_des_monuments_nationaux,"Government agencies of France, Lists of buildings and structures in France, Historic sites in France, National heritage organizations, 2000 establishments in France",,,,,,
Site archéologique de Glanum,"The Glanum Dam, also known as the Vallon de Baume dam, was a Roman arch dam built to supply water to the Roman town of Glanum, the remains of which stand outside the town of Saint-Rémy-de-Provence in Southern France. It was situated south of Glanum, in a gorge that cut into the hills of the Alpilles in the Roman province of Gallia Narbonensis. Dating to the 1st century BC, it was the earliest known dam of its kind. The remains of the dam were destroyed during the construction of a modern replacement in 1891, which now facilitates the supply of water to Saint-Rémy-de-Provence in the Bouches-du-Rhône region of France.",https://en.wikipedia.org/wiki/Glanum_Dam,"1763 archaeological discoveries, 1891 disestablishments in France, Buildings and structures demolished in 1891, Dams in France, Ancient Roman dams",,,,,,
Château de Chareil-Cintrat,"The Château de Chareil-Cintrat, also known as the Château du Bas-Chareil, is a late medieval château in France. It is located near Chareil-Cintrat, in the Allier department, Auvergne.",https://en.wikipedia.org/wiki/Ch%C3%A2teau_de_Chareil-Cintrat,"Châteaux in Allier, Monuments historiques of Allier, Historic house museums in Auvergne-Rhône-Alpes, Museums in Allier, Monuments of the Centre des monuments nationaux",,,,,,
Abbaye de La Sauve-Majeure,"UNESCO designated the Routes of Santiago de Compostela in France as a World Heritage Site in December 1998. The routes pass through the following regions of France: Aquitaine, Auvergne, Basse-Normandie, Bourgogne, Centre, Champagne-Ardenne, Ile-de-France, Languedoc-Roussillon, Limousin, Midi-Pyrénées, Picardie, Poitou-Charentes, and Provence-Alpes-Côte d'Azur. UNESCO cites the routes' role in ""religious and cultural exchange"", the development of ""specialized edifices"" along the routes, and their ""exceptional witness to the power and influence of Christian faith among people of all classes and countries in Europe during the Middle Ages"".",https://en.wikipedia.org/wiki/Routes_of_Santiago_de_Compostela_in_France,"World Heritage Sites in France, Camino de Santiago routes",,,,,,
Fort Saint-André,"The Fort Saint-André is a medieval fortress in the commune of Villeneuve-lès-Avignon in the Gard département of France, dating from the first half of the 14th century.",https://en.wikipedia.org/wiki/Fort_Saint-Andr%C3%A9_(Villeneuve-l%C3%A8s-Avignon),"Buildings and structures completed in 1302, Museums in Gard, Castles in Gard, Châteaux in Gard, Buildings and structures in Gard",,,,14th century,,
Maison Ernest Renan,"The Collège de France (French pronunciation:  ⓘ; formerly known as the Collège Royal or as the Collège impérial), founded in 1530 by François I, is a higher education and research establishment (grand établissement) in France. It is located in Paris near La Sorbonne. The Collège de France has been considered to be France's most prestigious research establishment. It is an associate member of PSL University.",https://en.wikipedia.org/wiki/Coll%C3%A8ge_de_France,"Collège de France, Education in Paris, Grands établissements, 1530 establishments in France, Educational institutions established in the 1530s",,,Public,1530; 495 years ago (royal charter),Francis I of France,
Cathédrale de Chartres,"Chartres Cathedral (French: Cathédrale Notre-Dame de Chartres, lit. Cathedral of Our Lady of Chartres) is a Catholic cathedral in Chartres, France, about 80 km (50 miles) southwest of Paris, and is the seat of the Bishop of Chartres. Dedicated in honour of the Virgin Mary ('Our Lady'), it was mostly constructed between 1194 and 1220. It stands on the site of at least five cathedrals that have occupied the site since the Diocese of Chartres was formed as an episcopal see in the 4th century. It is one of the best-known and most influential examples of High Gothic and Classic Gothic architecture. It was built above earlier Romanesque basements, while its north spire is more recent (1507–1513) and is built in the more ornate Flamboyant style.",https://en.wikipedia.org/wiki/Chartres_Cathedral,"Chartres Cathedral, Buildings and structures completed in 1250, Churches completed in the 1250s, Roman Catholic cathedrals in France, Religious buildings and structures in Eure-et-Loir","French Gothic, Romanesque, High Gothic",1252,Church,,,
Grotte de Pair-non-Pair,"The Pair-non-Pair Cave is located near the village of Prignac-et-Marcamps, Aquitaine:Gironde (33) department in France. Only discovered in 1881 it is known for remarkable prehistoric parietal engravings - petroglyphic representations of wild animals (horses, ibexes, cervidae, bovines and mammoths), ""which rank among the most ancient examples of art made by prehistoric"" humans, dating back to between 30,000 and 25,000 BP, the Aurignacian cultural period of the Upper Paleolithic.",https://en.wikipedia.org/wiki/Pair-non-Pair,"1881 archaeological discoveries, Neanderthal sites, Monuments of the Centre des monuments nationaux, Prehistoric sites in France, Paleolithic sites",,,Cave,,,
Domaine national du château de Coucy,"French wine is produced throughout all of France in quantities between 50 and 60 million hectolitres per year, or 7–8 billion bottles. France is one of the largest wine producers in the world. French wine traces its history to the 6th century BCE, with many of France's regions dating their wine-making history to Roman times. The wines produced range from expensive wines sold internationally to modest wines usually only seen within France such as the Margnat wines of the post-war period.",https://en.wikipedia.org/wiki/French_wine,"French cuisine, French wine, Agriculture in France, French drinks, Wine by country",,,,,,
Domaine national de Saint-Cloud,"Saint-Cloud (French pronunciation: ) is a French commune in the western suburbs of Paris, France, 10 kilometres (6 miles) from the centre of Paris. Like other communes of Hauts-de-Seine such as Marnes-la-Coquette, Neuilly-sur-Seine and Vaucresson, Saint-Cloud is one of France's wealthiest towns, with the second-highest average household income of communities with 10,000 to 50,000 households.",https://en.wikipedia.org/wiki/Saint-Cloud,"Communes of Hauts-de-Seine, Cities in Île-de-France",,,,,,
Cloître de la cathédrale de Fréjus,"Fréjus Cathedral (French: Cathédrale Saint-Léonce de Fréjus) is a Roman Catholic church located in the town of Fréjus in the Var department of Provence, southeast France, and dedicated to Saint Leontius of Fréjus.",https://en.wikipedia.org/wiki/Fr%C3%A9jus_Cathedral,"Churches in Var (department), 5th-century churches, Roman Catholic cathedrals in France, Monuments of the Centre des monuments nationaux",Romanesque,16th century,church,,,
Château de Gramont,"Antoine de Gramont, 2nd Duke of Gramont, comte de Guiche, comte de Gramont, comte de Louvigny, Souverain de Bidache (Antoine Agénor; 1604 – 12 July 1678) was a French military commander and diplomat. He served as Marshal of France from 1641, Viceroy of Navarre and Béarn, and Governor of Bayonne.","https://en.wikipedia.org/wiki/Antoine_de_Gramont,_2nd_Duke_of_Gramont","1604 births, 1678 deaths, Dukes of Gramont, Counts of Guiche, Counts of Gramont",,,,,,
Abbaye du Mont-Saint-Michel,"The Mont-Saint-Michel Abbey is an abbey located within the city and island of Mont-Saint-Michel in Normandy, in the department of Manche.",https://en.wikipedia.org/wiki/Mont-Saint-Michel_Abbey,"Benedictine monasteries in France, Carolingian architecture, World Heritage Sites in France, Tourist attractions in Manche, Monuments of the Centre des monuments nationaux",Romanesque and Gothic,1523,,,William of Volpiano (church),
Château de Rambouillet,"The Château de Rambouillet (pronounced ), also known in English as the Castle of Rambouillet, is a château in the town of Rambouillet, Yvelines department, in the Île-de-France region in northern France, 50 km (31 mi) southwest of Paris. It was the summer residence of the Presidents of France from 1896 until 2009, and it is now managed by the Centre des monuments nationaux.",https://en.wikipedia.org/wiki/Ch%C3%A2teau_de_Rambouillet,"1368 establishments in France, Buildings and structures completed in 1368, Châteaux in Yvelines, Châteaux with formal gardens in France, Royal residences in France",,,,,,
Château de Carrouges,"The Château de Carrouges is a château, dating partly from the 14th century, located in the commune of Carrouges, in the Orne department, Normandy, northern France. It is unusual in its combination of an austere fortress with a comfortable residence. The original fortifications at Carrouges were besieged and destroyed by English forces during the Hundred Years War. After the war, the château was rebuilt by Jean Blosset, grand seneschal of Normandy, in the 15th century.",https://en.wikipedia.org/wiki/Ch%C3%A2teau_de_Carrouges,"18th-century establishments in France, Houses completed in the 18th century, Castles in Orne, Monuments historiques of Orne, Historic house museums in Normandy",French Renaissance,18th century,Château,14th century,,
Château d'Aulteribe,"The Château d'Aulteribe is a castle located in Sermentizon, in the Puy-de-Dôme département, Auvergne, central France.",https://en.wikipedia.org/wiki/Ch%C3%A2teau_d%27Aulteribe,"Castles in Auvergne-Rhône-Alpes, Châteaux in Puy-de-Dôme, Monuments historiques of Puy-de-Dôme, Gothic Revival architecture in France, Historic house museums in Auvergne-Rhône-Alpes",,,,,,
Trophée d'Auguste,The Via Julia Augusta (modern Italian Via Giulia Augusta) is the name given to the Roman road formed by the merging of the Via Aemilia Scauri with the Via Postumia.,https://en.wikipedia.org/wiki/Via_Julia_Augusta,"10s BC establishments in the Roman Empire, Buildings and structures completed in the 1st century BC, Roman roads in Italy, Roman roads in Gaul, Augustus",,,Roman road,,,
Site gallo-romain de Sanxay,Sanxay (French pronunciation: ) is a commune in the Vienne department in the Nouvelle-Aquitaine region in western France. The population of Sanxay - as of 2017 - was 548.,https://en.wikipedia.org/wiki/Sanxay,"Communes of Vienne (department), Pictones, Monuments of the Centre des monuments nationaux, Vienne (department) geography stubs",,,,,,
Arc de triomphe,"The Arc de Triomphe de l'Étoile, often simply called the Arc de Triomphe, is one of the most famous monuments in Paris, France. It is located at the western end of the Champs-Élysées, at the centre of Place Charles de Gaulle—formerly known as Place de l'Étoile—named for the star-shaped configuration formed by the convergence of twelve radiating avenues. Paving stones of different colors trace a stellar pattern on the plaza's surface, with its points reaching toward the centre of each avenue. The monument is situated at the intersection of three arrondissements: the 16th (to the south and west), the 17th (to the north), and the 8th (to the east). Commissioned to honor those who fought and died for France during the French Revolutionary and Napoleonic Wars, the Arc bears the names of French victories and generals engraved on its inner and outer surfaces. Beneath its vault lies the Tomb of the Unknown Soldier from World War I, marked by an eternal flame commemorating unidentified fallen soldiers.",https://en.wikipedia.org/wiki/Arc_de_Triomphe,"Arc de Triomphe, Triumphal arches in France, Monuments and memorials related to Napoleonic Wars, Buildings and structures completed in 1836, Monuments and memorials in Paris",Neoclassicism,,Triumphal arch,15 August 1806,"Jean-François Chalgrin, (1806–1811), Louis-Robert Goust, (1811–1814, 1823–1830), Jean-Nicolas Huyot, (1823–1825, 1826–1832), Guillaume-Abel Blouet, (1832–1836)",
Domaine national du Palais-Royal,"The Palais-Royal (French: ) is a former French royal palace located on Rue Saint-Honoré in the 1st arrondissement of Paris. The screened entrance court faces the Place du Palais-Royal, opposite the Louvre. Originally called the Palais-Cardinal, it was built for Cardinal Richelieu from about 1633 to 1639 by architect Jacques Lemercier. Richelieu bequeathed it to Louis XIII, before Louis XIV gave it to his younger brother, Philippe I, Duke of Orléans. As the succeeding Dukes of Orléans made such extensive alterations over the years, almost nothing remains of Lemercier's original design.",https://en.wikipedia.org/wiki/Palais-Royal,"Houses completed in 1639, 1639 establishments in France, Palaces in France, Ancien Régime French architecture, Baroque palaces in France",,1639,,1633,"Jacques Lemercier, Jules Hardouin-Mansart, Gilles-Marie Oppenord, Pierre Contant d'Ivry, Pierre-Louis Moreau, Victor Louis, Pierre Fontaine, Charles Percier",
Maison des Jardies,"Sèvres (/ˈsɛvrə/, French:  ⓘ) is a French commune in the southwestern suburbs of Paris. It is located 9.9 kilometres (6.2 miles) from the centre of Paris, in the Hauts-de-Seine department in the Île-de-France region. The commune, which had a population of 23,251 as of 2018, is known for its famous porcelain production at the Manufacture nationale de Sèvres, which was also where the Treaty of Sèvres (1920) was signed.",https://en.wikipedia.org/wiki/S%C3%A8vres,Communes of Hauts-de-Seine,,,,,,
Château de Voltaire,"The Château de Voltaire is located in Ferney-Voltaire (Ain) in France, close to the border with Switzerland and the city of Geneva. It was Voltaire's home between 1761 and 1778. It was listed as a historical monument in 1958 and acquired by the French State in 1999.",https://en.wikipedia.org/wiki/Ch%C3%A2teau_de_Voltaire,"Voltaire, Châteaux in Ain, Monuments historiques of Ain",,,,,,
